Dato Indkoeb,Start abonnement Dato,Slut Dato Abonnement Periode,Bilmaerke,Indkoebspris,Braendstof,Koert Km ved abonnemt start,Abonnement  Km koert,Aftalt kontraktabonnment KM,Abonnements Periode,abonnement pris pr maened,Udleveringssted,Abonnement Varighed (År)
10. June 2020,25. December 2021,25. December 2023,Chevrolet,190000,Benzin,14815,19400,18000,12,4000,Copenhagen,2.00
23. July 2021,14. September 2021,14. September 2022,Kia,330000,Elektrisk,21532,46566,18000,12,4500,Copenhagen,1.00
29. July 2021,18. June 2022,18. June 2023,Volvo,680000,Elektrisk,19755,37599,18000,12,5000,Copenhagen,1.00
24. January 2022,21. December 2022,21. December 2023,Land Rover,1400000,Diesel,15899,19469,18000,12,6500,Copenhagen,1.00
7. June 2021,19. August 2021,19. August 2022,Porsche,1609000,Benzin,19404,22861,18000,12,9500,Copenhagen,1.00
16. December 2021,16. December 2021,16. December 2022,BMW,617057,Diesel,26185,45834,18000,12,4365,Kolding,1.00
13. September 2022,13. September 2022,13. September 2023,BMW,289183,Hybrid,21808,27395,18000,12,4831,Aarhus,1.00
10. November 2022,10. November 2022,10. November 2023,Kia,445246,Elektrisk,21556,54666,18000,12,7373,Aarhus,1.00
9. May 2022,9. May 2022,9. May 2023,Tesla,875167,Elektrisk,20243,24790,18000,12,4207,Aarhus,1.00
2. July 2022,2. July 2022,2. July 2023,Land Rover,1526336,Benzin,15260,24406,18000,12,6197,Aarhus,1.00
14. July 2021,14. July 2021,14. July 2022,Hyundai,711984,Diesel,10153,15489,18000,12,7689,Kolding,1.00
10. August 2022,10. August 2022,10. August 2023,Porsche,1123540,Benzin,10323,20592,18000,12,4246,Copenhagen,1.00
13. March 2021,13. March 2021,13. March 2022,Tesla,822043,Elektrisk,16384,21015,18000,12,6570,Copenhagen,1.00
14. January 2022,14. January 2022,14. January 2023,Porsche,1400523,Benzin,27715,45322,18000,12,5832,Kolding,1.00
28. August 2021,28. August 2021,28. August 2022,Ford,939352,Elektrisk,15076,20250,18000,12,7264,Kolding,1.00
6. June 2021,29. December 2021,29. December 2023,Mitsubishi,350000,Benzin,16912,29169,36000,24,4000,Kolding,2.00
19. April 2021,30. July 2021,30. July 2023,Volkswagen,400000,Elektrisk,15530,27355,36000,24,4800,Aarhus,2.00
10. June 2019,6. February 2021,6. February 2023,Renault,540000,Benzin,19817,26689,36000,24,5000,Kolding,2.00
3. April 2020,3. February 2021,3. February 2023,Land Rover,657900,Diesel,20967,26017,36000,24,5000,Copenhagen,2.00
19. June 2021,3. December 2021,3. December 2023,Smart,680000,Benzin,31765,77765,36000,24,5200,Copenhagen,2.00
31. March 2021,7. January 2021,7. January 2023,BMW,790000,Elektrisk,33161,69161,36000,24,5300,Copenhagen,2.00
28. April 2020,15. July 2021,15. July 2023,BMW,799000,Elektrisk,21170,24083,36000,24,5500,Copenhagen,2.00
13. March 2020,25. July 2020,25. July 2023,Porsche,1690000,Elektrisk,19224,67555,36000,24,10000,Aarhus,3.00
8. June 2020,31. July 2020,31. July 2023,Volkswagen,250000,Diesel,28460,45218,54000,36,3000,Aarhus,3.00
24. January 2020,15. February 2020,15. February 2023,Ford,356454,Hybrid,30079,54634,54000,36,5000,Aarhus,3.00
26. December 2019,25. June 2020,25. June 2023,Volvo,457000,Hybrid,19991,97144,54000,36,4000,Aarhus,3.00
30. September 2018,21. November 2020,21. November 2023,Kia,860000,Benzin,30092,43762,54000,36,7800,Aarhus,3.00
2. January 2020,20. April 2020,20. April 2023,Jaguar,780000,Diesel,22540,44433,54000,36,5000,Aarhus,3.00
2. January 2020,13. June 2020,13. June 2023,Tesla,1203433,Elektrisk,26553,89755,54000,36,8000,Aarhus,3.00
